word,phoneme,short_def,vi,hint_level
from a to z,/ˈfrʌm/,including everything,từ a đến z,1
from (point) a to (point) b,/ˈfrʌm/,from one place to another,từ (điểm) a đến (điểm) b,1
aardvark,/ˈɑːrdˌvɑːrk/,a large African animal,lợn đất,2
abacus,/ˈæbəkəs/,a device used for calculating,bàn tính,2
abalone,/ˌæbəˈloʊni/,a type of fish with a shell,bào ngư,1
abandonment,/əˈbændənmənt/,an act of giving up property,bỏ rơi,3
abandon,/əˈbændən/,to leave and never return,bỏ rơi,5
abatement,/əˈbeɪtmənt/,an act of making less,giảm bớt,1
abattoir,/əˈbeɪtɪŋ/,place where animals are killed,lò mổ,1
abbess,/ˈæbənˌhaʊs/,female head of a religious home,viện trưởng,1
abbey,/ˈæbi/,a place men live and pray,tu viện,3
abbot,/ˈæbət/,the head of a religious house,trụ trì,3
abbreviation,/əˌbriːviːˈeɪʃən/,a short form of a word,viết tắt,4
abc,/ˈeɪˌbiːˌsiː/,the letters of the alphabet,các chữ cái của bảng chữ cái,1
abdication,/ˌæbdɪˈkeɪʃən/,the act of formally resigning,thoái vị,1
abdomen,"/æbˈdoʊmən/, /ˈæbdəmən/",rear part of an insect's body,bụng,3
abduction,"/æbˈdʌkʃən/, /əbˈdʌkʃən/",a movement of a body part,bắt cóc,2
abductor,"/æbˈdʌktɝ/, /əbˈdʌktɝ/",one who takes people by force,kẻ bắt cóc,1
aberration,/ˌæbɝˈeɪʃən/,a thing that is not expected,quang sai,2
abeyance,/əˈbeɪəns/,a temporary ending,tạm dừng,1
abhorrence,/əbˈhɔrəns/,hate and anger,ghê tởm,1
ablution,/əˈbluːm/,the act of washing oneself,tẩy rửa,1
abnormality,/ˌæbnɔrˈmæləti/,a thing that is not usual,bất thường,3
abode,/əˈboʊd/,the place where one lives,chỗ ở,2
abolition,/ˌæbəˈlɪʃən/,the act of ending something,bãi bỏ,4
abolitionist,/ˌæbəˈlɪʃənəst/,one who wants to stop slavery,người theo chủ nghĩa bãi nô,1
abomination,/əˌbɑːməˈneɪʃən/,something that causes hatred,ghê tởm,2
aboriginal,/ˌæbɝˈɪdʒənəl/,a native,thổ dân,3
aborigine,/ˌæbɝˈɪdʒəni/,a native,thổ dân,1
abortionist,/əˈbɔrʃənɪst/,one who stops a pregnancy,người phá thai,1
abrasion,/əˈbreɪʒən/,the act of damaging a thing,mài mòn,1
abrasiveness,/əˈbreɪsɪv/,quality of being not pleasant,sự mài mòn,1
abrasive,/əˈbreɪsɪv/,causing damage,mài mòn,3
abridgment,/əˈbrɪdʒɪŋ/,a shorter version,sự rút gọn,1
abridgement,/əˈbrɪdʒmənt/,a shorter version,rút gọn,1
abrogation,/ˌæbrəˈgeɪʃən/,an official act of cancelling,bãi bỏ,1
abruptness,/əˈbrʌptnəs/,a rude manner,sự đột ngột,1
abscess,/ˈæbˌsɛs/,an area of infected tissue,áp xe,1
absconder,/æbˈskɑːndəd/,one who hides from the law,bỏ trốn,1
in someone's absence,"/ɪn/, /ˈɪn/",while one is away,trong sự vắng mặt của ai đó,1
absentee,/ˌæbsənˈtiː/,one who is not present,vắng mặt,2
absenteeism,/ˌæbsənˈtiːɪzəm/,habit of being away from work,vắng mặt,1
absentmindedness,/æbˈsɛnʃə/,state of thinking of one thing,đãng trí,1
absinthe,/ˈæbsɪnθ/,a green alcoholic drink,rượu ngải cứu,1
absoluteness,/ˈæbsəˌluːtnəs/,the quality of being final,sự tuyệt đối,1
absolution,/ˌæbsəˈluːʃən/,act of excusing one for sins,xá tội,2
